date,year,quantity,type,location,spilled_by
1982,1982,-,-,West Coast,Sagar Vikas
24/10/1988,1988,1000,-,Bombay Harbour,Lajpat Rai
1989,1989,-,-,West Coast,SEDCO 252
04/08/1989,1989,5500,Diesel Oil,795 nm SW of Bombay,MT Puppy
29/08/1989,1989,-,-,Bombay Harbour,ONGC Tanker
29/08/1989,1989,-,-,Saurashtra Coast,Unknown
22/03/1990,1990,-,-,NW of Cochin,Merchant Ship
07/09/1991,1991,692,FO,Gulf of Mannar,MT Jayabola
14/11/1991,1991,4000,Crude,Bombay High,MT Zakir Hussain
22/02/1992,1992,,Tanker Wash,40 NM S of New Moore Is,Unknown
02/04/1992,1992,1000,Crude,54NM west of Kochi,MT Homi Bhabha
16/08/1992,1992,1060,SKO,Madras Harbour,MT Albert Ekka
17/11/1992,1992,300,FO,Bombay Harbour,MV Moon River
21/01/1993,1993,40000,,Off Nicobar Islands,Maersk Navigator
28/03/1993,1993,NK,Crude,Off Narsapur,ONGC shore rig at Kumarada
29/04/1993,1993,110,Crude,Bombay Harbour,MT Nand Shivchand
10/05/1993,1993,90,FO,Bhavnagar,MV Celelia
17/05/1993,1993,6000,Crude,Bombay High,BHN Riser pipe rupture
02/08/1993,1993,260,FO,Off New Mangalore,MV Challenge
01/10/1993,1993,90,Crude,Cochin Harbour,MT Nand Shivchand
12/05/1994,1994,1600,Crude,Off Sacromento Pt.,Innovative-1
12/05/1994,1994,-,FO,360 NM SW of Porbandar,MV Stolidi
05/06/1994,1994,1025,Crude,Off Aguada Lt,MV Sea Transporter
20/07/1994,1994,100,FO,Bombay Harbour,MV Maharshi Dayanand
27/11/1994,1994,288,HO,Off Madras,MV Sagar
26/03/1995,1995,200,Diesel,Off Vizag,Dredger Mandovi - 2
24/09/1995,1995,-,FO,Off Dwarka,MC Pearl
13/11/1995,1995,-,Tanker Wash,"Eliot Beach, Madras",Unknown
21/05/1996,1996,370,FO,Hooghly River,MV Prem Tista
